"COUNTRY","Country","ISC11A","ISCED 2011 A education level","SEX","Gender","AGE","Age","FIELD","Field","MEASURE","Measure","INDICATOR","INDICATOR","YEAR","Reference year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
"KOR","Korea","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",56.830811,,
"NLD","Netherlands","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",64.154457,,
"NOR","Norway","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",77.6632,,
"POL","Poland","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",87.2006,,
"ESP","Spain","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",45.260796,,
"CHE","Switzerland","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",81.244751,,
"TUR","Turkey","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",18.029873,,
"GBR","United Kingdom","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",69.045654,,
"USA","United States","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",90.505539,,
"ARG","Argentina","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",54.761971,,
"CHN","China (People's Republic of)","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2010","2010",8.5108242,,
"EST","Estonia","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",92.95578,,
"LTU","Lithuania","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",96.665504,,
"SAU","Saudi Arabia","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2016","2016",,"m","Missing data"
"E22","European Union 22 members in OECD","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year",,,"0","Units",,,71.363446,,
"KOR","Korea","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",97.557625,,
"CHE","Switzerland","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",87.042274,,
"IDN","Indonesia","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2017","2017",23.363884,,
"LVA","Latvia","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",92.419624,,
"AUT","Austria","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",85.827225,,
"FIN","Finland","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",80.952377,,
"ARG","Argentina","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",71.573608,,
"EST","Estonia","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",85.655403,,
"BEL","Belgium","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",66.544662,,
"ESP","Spain","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",46.665546,,
"IND","India","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2011","2011",28.040218,,
"COL","Colombia","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",63.243217,,
"ITA","Italy","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",71.313171,,
"ISR","Israel","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",89.810371,,
"GBR","United Kingdom","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",73.768478,,
"E22","European Union 22 members in OECD","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year",,,"0","Units",,,73.891219,,
"NOR","Norway","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",86.133575,,
"USA","United States","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",89.626534,,
"G20","G20","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year",,,"0","Units",,,68.357128,,
"CHE","Switzerland","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",89.005714,,
"NZL","New Zealand","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",73.732216,,
"DNK","Denmark","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",82.276016,,
"HUN","Hungary","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",86.308228,,
"LTU","Lithuania","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",92.851891,,
"SWE","Sweden","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",79.964912,,
"PRT","Portugal","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",52.961208,,
"PRT","Portugal","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",26.297728,,
"DEU","Germany","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",89.090973,,
"BRA","Brazil","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",58.837326,,
"CAN","Canada","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",95.41172,,
"USA","United States","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",91.244904,,
"NZL","New Zealand","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",86.471176,,
"ZAF","South Africa","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",49.643478,,
"CRI","Costa Rica","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",40.901817,,
"CHN","China (People's Republic of)","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2010","2010",15.292458,,
"IRL","Ireland","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",63.433891,,
"NLD","Netherlands","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",82.964531,,
"SVN","Slovenia","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",93.819778,,
"MEX","Mexico","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",37.881474,,
"FRA","France","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",85.588081,,
"SWE","Sweden","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",82.406776,,
"CZE","Czech Republic","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",94.789543,,
"FIN","Finland","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",94.864052,,
"ISR","Israel","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",80.021904,,
"ZAF","South Africa","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",80.904938,,
"POL","Poland","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",89.353767,,
"BEL","Belgium","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",81.60099,,
"OAVG","OECD - Average","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year",,,"0","Units",,,71.696072,,
"FIN","Finland","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",89.337173,,
"RUS","Russia","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2017","2017",96.020058,,
"SVN","Slovenia","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",75.483139,,
"CRI","Costa Rica","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",33.169285,,
"LUX","Luxembourg","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",61.160149,,
"KOR","Korea","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",74.104591,,
"COL","Colombia","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",33.817303,,
"GRC","Greece","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",77.300156,,
"JPN","Japan","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
"IDN","Indonesia","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2017","2017",36.162296,,
"DNK","Denmark","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",74.886055,,
"MEX","Mexico","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",25.892448,,
"COL","Colombia","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",35.483852,,
"TUR","Turkey","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",36.605389,,
"HUN","Hungary","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",86.184891,,
"RUS","Russia","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2017","2017",94.098854,,
"AUS","Australia","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",74.080048,,
"ARG","Argentina","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",50.437336,,
"DNK","Denmark","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",87.860443,,
"ESP","Spain","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",72.29612,,
"G20","G20","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year",,,"0","Units",,,56.921903,,
"HUN","Hungary","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",85.689156,,
"SVK","Slovak Republic","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",92.194611,,
"RUS","Russia","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2017","2017",93.794495,,
"CAN","Canada","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",85.264832,,
"POL","Poland","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",95.637947,,
"ISL","Iceland","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",84.837051,,
"NLD","Netherlands","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",85.8881,,
"DEU","Germany","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",85.345909,,
"SAU","Saudi Arabia","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2016","2016",,"m","Missing data"
"CZE","Czech Republic","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",94.982109,,
"AUS","Australia","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",88.872475,,
"AUS","Australia","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",65.090424,,
"USA","United States","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",89.601898,,
"AUS","Australia","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",85.978485,,
"OAVG","OECD - Average","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year",,,"0","Units",,,83.504825,,
"SVK","Slovak Republic","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",84.682655,,
"SVK","Slovak Republic","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",93.114685,,
"ZAF","South Africa","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",54.177032,,
"GRC","Greece","L3T8","At least upper secondary education","M","Men","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",56.484192,,
"RUS","Russia","L3T8","At least upper secondary education","F","Women","Y55T64","55-64 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2017","2017",94.831131,,
"CHL","Chile","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2017","2017",74.777321,,
"LUX","Luxembourg","L3T8","At least upper secondary education","F","Women","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",82.394928,,
"ITA","Italy","L3T8","At least upper secondary education","M","Men","Y35T44","35-44 years","T","Total","VALUE","Value","NEAC_SHARE_EA","Share of population by educational attainment","9999","Latest available year","PC","Percentage","0","Units","2018","2018",63.737228,,
